Analyzed file:	D:\Ьрушёђ№\Video\00022.MTS
 Coordinate: [117 x 233 from (520, 99)]
Frame Й	288 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [106 x 212 from (522, 114)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [106 x 212 from (522, 114)]
Frame Й	289 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	290 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	291 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	292 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	293 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	294 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	295 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [99 x 199 from (521, 111)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [99 x 199 from (521, 111)]
Frame Й	296 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	297 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	298 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	299 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	300 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	301 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	302 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	303 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	304 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	305 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [104 x 208 from (137, -26)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [104 x 208 from (137, -26)]
Frame Й	306 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [121 x 242 from (501, 49)]
+Object's Й: 1
 Coordinate: [95 x 189 from (449, 106)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [121 x 242 from (501, 49)]
+Object's Й: 1
 Coordinate: [95 x 189 from (449, 106)]
Frame Й	307 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [92 x 184 from (449, 110)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [92 x 184 from (449, 110)]
Frame Й	308 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [143 x 285 from (417, 28)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [143 x 285 from (417, 28)]
Frame Й	309 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [143 x 285 from (417, 28)]
+Object's Й: 1
 Coordinate: [104 x 209 from (130, -13)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [143 x 285 from (417, 28)]
+Object's Й: 1
 Coordinate: [104 x 209 from (130, -13)]
Frame Й	310 ----------------------
Object's on frame in detect:	4
+Object's Й: 0
 Coordinate: [113 x 226 from (499, 52)]
+Object's Й: 1
 Coordinate: [143 x 285 from (417, 28)]
+Object's Й: 2
 Coordinate: [86 x 172 from (450, 122)]
+Object's Й: 3
 Coordinate: [98 x 197 from (133, -10)]
				-----rejected------
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [113 x 226 from (499, 52)]
+Object's Й: 1
 Coordinate: [143 x 285 from (417, 28)]
+Object's Й: 2
 Coordinate: [98 x 197 from (133, -10)]
Frame Й	311 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [115 x 230 from (496, 48)]
+Object's Й: 1
 Coordinate: [106 x 212 from (132, -13)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [115 x 230 from (496, 48)]
+Object's Й: 1
 Coordinate: [106 x 212 from (132, -13)]
Frame Й	312 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [116 x 232 from (493, 45)]
+Object's Й: 1
 Coordinate: [97 x 194 from (131, -5)]
+Object's Й: 2
 Coordinate: [86 x 172 from (446, 129)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [116 x 232 from (493, 45)]
+Object's Й: 1
 Coordinate: [97 x 194 from (131, -5)]
+Object's Й: 2
 Coordinate: [86 x 172 from (446, 129)]
Frame Й	313 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [112 x 225 from (494, 48)]
+Object's Й: 1
 Coordinate: [86 x 172 from (446, 129)]
+Object's Й: 2
 Coordinate: [103 x 206 from (132, -7)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [112 x 225 from (494, 48)]
+Object's Й: 1
 Coordinate: [86 x 172 from (446, 129)]
+Object's Й: 2
 Coordinate: [103 x 206 from (132, -7)]
Frame Й	314 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [109 x 218 from (494, 51)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [109 x 218 from (494, 51)]
Frame Й	315 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [96 x 193 from (132, 0)]
+Object's Й: 1
 Coordinate: [107 x 215 from (494, 51)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [96 x 193 from (132, 0)]
+Object's Й: 1
 Coordinate: [107 x 215 from (494, 51)]
Frame Й	316 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [98 x 197 from (127, 0)]
+Object's Й: 1
 Coordinate: [109 x 218 from (493, 47)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [98 x 197 from (127, 0)]
+Object's Й: 1
 Coordinate: [109 x 218 from (493, 47)]
Frame Й	317 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [98 x 196 from (130, 3)]
+Object's Й: 1
 Coordinate: [110 x 221 from (493, 40)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [98 x 196 from (130, 3)]
+Object's Й: 1
 Coordinate: [110 x 221 from (493, 40)]
Frame Й	318 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [109 x 219 from (116, 0)]
+Object's Й: 1
 Coordinate: [117 x 234 from (491, 29)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [109 x 219 from (116, 0)]
+Object's Й: 1
 Coordinate: [117 x 234 from (491, 29)]
Frame Й	319 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [109 x 219 from (116, 3)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [109 x 219 from (116, 3)]
Frame Й	320 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [110 x 219 from (112, 8)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [110 x 219 from (112, 8)]
Frame Й	321 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [111 x 223 from (111, 9)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [111 x 223 from (111, 9)]
Frame Й	322 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [101 x 202 from (113, 21)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [101 x 202 from (113, 21)]
Frame Й	323 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [108 x 216 from (107, 18)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [108 x 216 from (107, 18)]
Frame Й	324 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [107 x 214 from (106, 20)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [107 x 214 from (106, 20)]
Frame Й	325 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [142 x 283 from (423, 29)]
+Object's Й: 1
 Coordinate: [99 x 198 from (110, 26)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [142 x 283 from (423, 29)]
+Object's Й: 1
 Coordinate: [99 x 198 from (110, 26)]
Frame Й	326 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [101 x 201 from (107, 27)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [101 x 201 from (107, 27)]
Frame Й	327 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [96 x 192 from (108, 32)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [96 x 192 from (108, 32)]
Frame Й	328 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [101 x 202 from (104, 29)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [101 x 202 from (104, 29)]
Frame Й	329 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (106, 28)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (106, 28)]
Frame Й	330 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (104, 33)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (104, 33)]
Frame Й	331 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [108 x 217 from (103, 35)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [108 x 217 from (103, 35)]
Frame Й	332 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (99, 37)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (99, 37)]
Frame Й	333 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [115 x 230 from (94, 39)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [115 x 230 from (94, 39)]
Frame Й	334 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (94, 47)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (94, 47)]
Frame Й	335 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [80 x 159 from (440, 127)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [80 x 159 from (440, 127)]
Frame Й	336 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [81 x 162 from (195, 328)]
+Object's Й: 1
 Coordinate: [108 x 217 from (94, 54)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [81 x 162 from (195, 328)]
+Object's Й: 1
 Coordinate: [108 x 217 from (94, 54)]
Frame Й	337 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [82 x 164 from (195, 327)]
+Object's Й: 1
 Coordinate: [105 x 211 from (92, 59)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [82 x 164 from (195, 327)]
+Object's Й: 1
 Coordinate: [105 x 211 from (92, 59)]
Frame Й	338 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [83 x 166 from (197, 326)]
+Object's Й: 1
 Coordinate: [109 x 219 from (89, 58)]
+Object's Й: 2
 Coordinate: [81 x 162 from (437, 125)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [83 x 166 from (197, 326)]
+Object's Й: 1
 Coordinate: [109 x 219 from (89, 58)]
+Object's Й: 2
 Coordinate: [81 x 162 from (437, 125)]
Frame Й	339 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [82 x 164 from (435, 118)]
+Object's Й: 1
 Coordinate: [112 x 223 from (86, 55)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [82 x 164 from (435, 118)]
+Object's Й: 1
 Coordinate: [112 x 223 from (86, 55)]
Frame Й	340 ----------------------
Object's on frame in detect:	4
+Object's Й: 0
 Coordinate: [95 x 189 from (425, 94)]
+Object's Й: 1
 Coordinate: [92 x 183 from (192, 312)]
+Object's Й: 2
 Coordinate: [109 x 219 from (86, 59)]
+Object's Й: 3
 Coordinate: [72 x 145 from (442, 133)]
				-----rejected------
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [95 x 189 from (425, 94)]
+Object's Й: 1
 Coordinate: [92 x 183 from (192, 312)]
+Object's Й: 2
 Coordinate: [109 x 219 from (86, 59)]
Frame Й	341 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [90 x 180 from (514, 11)]
+Object's Й: 1
 Coordinate: [89 x 177 from (195, 313)]
+Object's Й: 2
 Coordinate: [86 x 171 from (112, 311)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [90 x 180 from (514, 11)]
+Object's Й: 1
 Coordinate: [89 x 177 from (195, 313)]
+Object's Й: 2
 Coordinate: [86 x 171 from (112, 311)]
Frame Й	342 ----------------------
Object's on frame in detect:	5
+Object's Й: 0
 Coordinate: [121 x 241 from (181, 256)]
+Object's Й: 1
 Coordinate: [92 x 184 from (514, 7)]
+Object's Й: 2
 Coordinate: [81 x 162 from (112, 316)]
+Object's Й: 3
 Coordinate: [95 x 189 from (189, 299)]
+Object's Й: 4
 Coordinate: [112 x 224 from (77, 62)]
				-----rejected------
Object's on frame in detect_filter:	4
+Object's Й: 0
 Coordinate: [121 x 241 from (181, 256)]
+Object's Й: 1
 Coordinate: [92 x 184 from (514, 7)]
+Object's Й: 2
 Coordinate: [81 x 162 from (112, 316)]
+Object's Й: 3
 Coordinate: [112 x 224 from (77, 62)]
Frame Й	343 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [89 x 177 from (110, 302)]
+Object's Й: 1
 Coordinate: [105 x 210 from (185, 279)]
+Object's Й: 2
 Coordinate: [112 x 224 from (73, 62)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [89 x 177 from (110, 302)]
+Object's Й: 1
 Coordinate: [105 x 210 from (185, 279)]
+Object's Й: 2
 Coordinate: [112 x 224 from (73, 62)]
Frame Й	344 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [96 x 192 from (109, 290)]
+Object's Й: 1
 Coordinate: [93 x 187 from (511, 4)]
+Object's Й: 2
 Coordinate: [113 x 226 from (70, 67)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [96 x 192 from (109, 290)]
+Object's Й: 1
 Coordinate: [93 x 187 from (511, 4)]
+Object's Й: 2
 Coordinate: [113 x 226 from (70, 67)]
Frame Й	345 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [90 x 181 from (112, 300)]
+Object's Й: 1
 Coordinate: [93 x 187 from (511, 4)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [90 x 181 from (112, 300)]
+Object's Й: 1
 Coordinate: [93 x 187 from (511, 4)]
Frame Й	346 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [95 x 189 from (508, 0)]
+Object's Й: 1
 Coordinate: [91 x 183 from (111, 290)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [95 x 189 from (508, 0)]
+Object's Й: 1
 Coordinate: [91 x 183 from (111, 290)]
Frame Й	347 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [100 x 201 from (110, 273)]
+Object's Й: 1
 Coordinate: [95 x 189 from (508, 0)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [100 x 201 from (110, 273)]
+Object's Й: 1
 Coordinate: [95 x 189 from (508, 0)]
Frame Й	348 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (109, 261)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (109, 261)]
Frame Й	349 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (109, 257)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (109, 257)]
Frame Й	350 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [98 x 197 from (113, 258)]
+Object's Й: 1
 Coordinate: [101 x 202 from (483, 71)]
+Object's Й: 2
 Coordinate: [65 x 130 from (447, 146)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [98 x 197 from (113, 258)]
+Object's Й: 1
 Coordinate: [101 x 202 from (483, 71)]
+Object's Й: 2
 Coordinate: [65 x 130 from (447, 146)]
Frame Й	351 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [90 x 180 from (510, 0)]
+Object's Й: 1
 Coordinate: [90 x 180 from (118, 264)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [90 x 180 from (510, 0)]
+Object's Й: 1
 Coordinate: [90 x 180 from (118, 264)]
Frame Й	352 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [90 x 180 from (510, 0)]
+Object's Й: 1
 Coordinate: [98 x 196 from (116, 251)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [90 x 180 from (510, 0)]
+Object's Й: 1
 Coordinate: [98 x 196 from (116, 251)]
Frame Й	353 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [84 x 168 from (512, 0)]
+Object's Й: 1
 Coordinate: [91 x 182 from (118, 258)]
+Object's Й: 2
 Coordinate: [95 x 189 from (193, 256)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [84 x 168 from (512, 0)]
+Object's Й: 1
 Coordinate: [91 x 182 from (118, 258)]
+Object's Й: 2
 Coordinate: [95 x 189 from (193, 256)]
Frame Й	354 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	355 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	356 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [90 x 181 from (71, 123)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [90 x 181 from (71, 123)]
Frame Й	357 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [99 x 197 from (63, 127)]
+Object's Й: 1
 Coordinate: [99 x 199 from (120, 240)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [99 x 197 from (63, 127)]
+Object's Й: 1
 Coordinate: [99 x 199 from (120, 240)]
Frame Й	358 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (52, 126)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (52, 126)]
Frame Й	359 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [94 x 188 from (497, 108)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [94 x 188 from (497, 108)]
Frame Й	360 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [98 x 196 from (497, 109)]
+Object's Й: 1
 Coordinate: [106 x 212 from (46, 138)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [98 x 196 from (497, 109)]
+Object's Й: 1
 Coordinate: [106 x 212 from (46, 138)]
Frame Й	361 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [100 x 200 from (497, 110)]
+Object's Й: 1
 Coordinate: [107 x 215 from (49, 139)]
+Object's Й: 2
 Coordinate: [76 x 151 from (44, 200)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [100 x 200 from (497, 110)]
+Object's Й: 1
 Coordinate: [107 x 215 from (49, 139)]
+Object's Й: 2
 Coordinate: [76 x 151 from (44, 200)]
Frame Й	362 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [95 x 191 from (501, 118)]
+Object's Й: 1
 Coordinate: [70 x 140 from (141, 241)]
+Object's Й: 2
 Coordinate: [72 x 143 from (45, 206)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [95 x 191 from (501, 118)]
+Object's Й: 1
 Coordinate: [70 x 140 from (141, 241)]
+Object's Й: 2
 Coordinate: [72 x 143 from (45, 206)]
Frame Й	363 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [95 x 190 from (504, 118)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [95 x 190 from (504, 118)]
Frame Й	364 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [84 x 169 from (510, 140)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [84 x 169 from (510, 140)]
Frame Й	365 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [90 x 180 from (41, 158)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [90 x 180 from (41, 158)]
Frame Й	366 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	367 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	368 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	369 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	370 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [78 x 156 from (516, -10)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [78 x 156 from (516, -10)]
Frame Й	371 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	372 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	373 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	374 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	375 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	376 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	377 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	378 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (534, 130)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (534, 130)]
Frame Й	379 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [73 x 146 from (148, 188)]
+Object's Й: 1
 Coordinate: [104 x 208 from (534, 133)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [73 x 146 from (148, 188)]
+Object's Й: 1
 Coordinate: [104 x 208 from (534, 133)]
Frame Й	380 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [102 x 204 from (538, 140)]
+Object's Й: 1
 Coordinate: [74 x 148 from (148, 185)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [102 x 204 from (538, 140)]
+Object's Й: 1
 Coordinate: [74 x 148 from (148, 185)]
Frame Й	381 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (538, 139)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (538, 139)]
Frame Й	382 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [101 x 202 from (536, 146)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [101 x 202 from (536, 146)]
Frame Й	383 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	384 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [107 x 214 from (-7, 220)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [107 x 214 from (-7, 220)]
Frame Й	385 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	386 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [117 x 235 from (-12, 228)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [117 x 235 from (-12, 228)]
Frame Й	387 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [110 x 221 from (-7, 237)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [110 x 221 from (-7, 237)]
Frame Й	388 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [110 x 219 from (-8, 242)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [110 x 219 from (-8, 242)]
Frame Й	389 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [108 x 215 from (544, 164)]
+Object's Й: 1
 Coordinate: [106 x 212 from (-6, 252)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [108 x 215 from (544, 164)]
+Object's Й: 1
 Coordinate: [106 x 212 from (-6, 252)]
Frame Й	390 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [105 x 210 from (546, 172)]
+Object's Й: 1
 Coordinate: [105 x 210 from (-7, 255)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [105 x 210 from (546, 172)]
+Object's Й: 1
 Coordinate: [105 x 210 from (-7, 255)]
Frame Й	391 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [103 x 207 from (549, 175)]
+Object's Й: 1
 Coordinate: [105 x 210 from (-7, 257)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [103 x 207 from (549, 175)]
+Object's Й: 1
 Coordinate: [105 x 210 from (-7, 257)]
Frame Й	392 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [101 x 202 from (-6, 261)]
+Object's Й: 1
 Coordinate: [102 x 205 from (550, 182)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [101 x 202 from (-6, 261)]
+Object's Й: 1
 Coordinate: [102 x 205 from (550, 182)]
Frame Й	393 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [98 x 195 from (-6, 270)]
+Object's Й: 1
 Coordinate: [100 x 199 from (554, 188)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [98 x 195 from (-6, 270)]
+Object's Й: 1
 Coordinate: [100 x 199 from (554, 188)]
Frame Й	394 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [99 x 197 from (554, 190)]
+Object's Й: 1
 Coordinate: [99 x 198 from (-9, 271)]
+Object's Й: 2
 Coordinate: [86 x 172 from (35, 315)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [99 x 197 from (554, 190)]
+Object's Й: 1
 Coordinate: [99 x 198 from (-9, 271)]
+Object's Й: 2
 Coordinate: [86 x 172 from (35, 315)]
Frame Й	395 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [99 x 198 from (550, 190)]
+Object's Й: 1
 Coordinate: [100 x 200 from (-7, 274)]
+Object's Й: 2
 Coordinate: [74 x 147 from (72, 306)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [99 x 198 from (550, 190)]
+Object's Й: 1
 Coordinate: [100 x 200 from (-7, 274)]
+Object's Й: 2
 Coordinate: [74 x 147 from (72, 306)]
Frame Й	396 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [110 x 221 from (-19, 274)]
+Object's Й: 1
 Coordinate: [104 x 209 from (546, 182)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [110 x 221 from (-19, 274)]
+Object's Й: 1
 Coordinate: [104 x 209 from (546, 182)]
Frame Й	397 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	398 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	399 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
