Analyzed file:	F:\Learning\Ьрушёђ№\Video for disser\mega3.mp4
 Coordinate: [108 x 216 from (69, 73)]
+Object's Й: 1
 Coordinate: [99 x 197 from (191, 284)]
+Object's Й: 2
 Coordinate: [82 x 163 from (434, 115)]
+Object's Й: 3
 Coordinate: [93 x 187 from (511, 4)]
+Object's Й: 4
 Coordinate: [91 x 182 from (111, 295)]
Frame Й	346 ----------------------
Object's on frame in myPersons:	5
+Object's Й: 0
 Coordinate: [108 x 216 from (67, 75)]
+Object's Й: 1
 Coordinate: [99 x 197 from (191, 282)]
+Object's Й: 2
 Coordinate: [82 x 163 from (434, 115)]
+Object's Й: 3
 Coordinate: [92 x 185 from (510, 3)]
+Object's Й: 4
 Coordinate: [103 x 206 from (106, 272)]
Frame Й	347 ----------------------
Object's on frame in myPersons:	6
+Object's Й: 0
 Coordinate: [108 x 216 from (65, 77)]
+Object's Й: 1
 Coordinate: [99 x 197 from (191, 280)]
+Object's Й: 2
 Coordinate: [82 x 163 from (434, 115)]
+Object's Й: 3
 Coordinate: [92 x 183 from (509, 2)]
+Object's Й: 4
 Coordinate: [98 x 196 from (110, 274)]
Frame Й	348 ----------------------
Object's on frame in myPersons:	5
+Object's Й: 0
 Coordinate: [108 x 216 from (63, 79)]
+Object's Й: 1
 Coordinate: [99 x 197 from (191, 278)]
+Object's Й: 2
 Coordinate: [82 x 163 from (434, 115)]
+Object's Й: 3
 Coordinate: [92 x 183 from (508, 1)]
+Object's Й: 4
 Coordinate: [101 x 203 from (109, 264)]
Frame Й	349 ----------------------
Object's on frame in myPersons:	6
+Object's Й: 0
 Coordinate: [108 x 216 from (61, 81)]
+Object's Й: 1
 Coordinate: [99 x 197 from (191, 276)]
+Object's Й: 2
 Coordinate: [82 x 163 from (434, 115)]
+Object's Й: 3
 Coordinate: [92 x 183 from (507, 0)]
+Object's Й: 4
 Coordinate: [105 x 210 from (107, 254)]
Frame Й	350 ----------------------
Object's on frame in myPersons:	6
+Object's Й: 0
 Coordinate: [108 x 216 from (59, 83)]
+Object's Й: 1
 Coordinate: [99 x 197 from (191, 274)]
+Object's Й: 2
 Coordinate: [82 x 163 from (434, 115)]
+Object's Й: 3
 Coordinate: [92 x 183 from (506, -1)]
+Object's Й: 4
 Coordinate: [98 x 197 from (113, 258)]
Frame Й	351 ----------------------
Object's on frame in myPersons:	5
+Object's Й: 0
 Coordinate: [108 x 216 from (57, 85)]
+Object's Й: 1
 Coordinate: [99 x 197 from (191, 272)]
+Object's Й: 2
 Coordinate: [82 x 163 from (434, 115)]
+Object's Й: 3
 Coordinate: [88 x 176 from (510, 0)]
+Object's Й: 4
 Coordinate: [93 x 185 from (118, 260)]
Frame Й	352 ----------------------
Object's on frame in myPersons:	6
+Object's Й: 0
 Coordinate: [108 x 216 from (55, 87)]
+Object's Й: 1
 Coordinate: [99 x 197 from (191, 270)]
+Object's Й: 2
 Coordinate: [82 x 163 from (434, 115)]
+Object's Й: 3
 Coordinate: [88 x 176 from (509, -1)]
+Object's Й: 4
 Coordinate: [92 x 183 from (120, 258)]
Frame Й	353 ----------------------
Object's on frame in myPersons:	6
+Object's Й: 0
 Coordinate: [108 x 216 from (53, 89)]
+Object's Й: 1
 Coordinate: [99 x 197 from (191, 268)]
+Object's Й: 2
 Coordinate: [82 x 163 from (434, 115)]
+Object's Й: 3
 Coordinate: [88 x 176 from (508, -2)]
+Object's Й: 4
 Coordinate: [96 x 192 from (116, 249)]
Frame Й	354 ----------------------
Object's on frame in myPersons:	6
+Object's Й: 0
 Coordinate: [108 x 216 from (51, 91)]
+Object's Й: 1
 Coordinate: [99 x 197 from (191, 266)]
+Object's Й: 2
 Coordinate: [82 x 163 from (434, 115)]
+Object's Й: 3
 Coordinate: [88 x 176 from (507, -3)]
+Object's Й: 4
 Coordinate: [98 x 198 from (116, 243)]
+Object's Й: 5
 Coordinate: [73 x 146 from (63, 175)]
Frame Й	355 ----------------------
Object's on frame in myPersons:	6
+Object's Й: 0
 Coordinate: [108 x 216 from (49, 93)]
+Object's Й: 1
 Coordinate: [99 x 197 from (191, 264)]
+Object's Й: 2
 Coordinate: [82 x 163 from (434, 115)]
+Object's Й: 3
 Coordinate: [83 x 166 from (511, 0)]
+Object's Й: 4
 Coordinate: [98 x 198 from (116, 239)]
+Object's Й: 5
 Coordinate: [73 x 146 from (61, 176)]
Frame Й	356 ----------------------
Object's on frame in myPersons:	4
+Object's Й: 0
 Coordinate: [108 x 216 from (47, 95)]
+Object's Й: 1
 Coordinate: [83 x 166 from (510, -2)]
+Object's Й: 2
 Coordinate: [98 x 198 from (116, 235)]
+Object's Й: 3
 Coordinate: [71 x 143 from (64, 185)]
Frame Й	357 ----------------------
Object's on frame in myPersons:	3
+Object's Й: 0
 Coordinate: [83 x 166 from (509, -4)]
+Object's Й: 1
 Coordinate: [98 x 198 from (116, 231)]
+Object's Й: 2
 Coordinate: [71 x 143 from (62, 186)]
Frame Й	358 ----------------------
Object's on frame in myPersons:	4
+Object's Й: 0
 Coordinate: [83 x 166 from (508, -6)]
+Object's Й: 1
 Coordinate: [98 x 198 from (116, 227)]
+Object's Й: 2
 Coordinate: [71 x 143 from (60, 187)]
